x_ang,y_ang,z_ang
8.541999999999999815e+00,1.308399999999999963e+01,1.959199999999999875e+01
1.075099999999999945e+01,1.196000000000000085e+01,1.901000000000000156e+01
1.367300000000000004e+01,1.204100000000000037e+01,1.846699999999999875e+01
1.147499999999999964e+01,1.320599999999999952e+01,1.927899999999999991e+01
1.297899999999999920e+01,1.330799999999999983e+01,1.899399999999999977e+01
1.514700000000000024e+01,1.216000000000000014e+01,1.823499999999999943e+01
1.810099999999999909e+01,1.207300000000000040e+01,1.846000000000000085e+01
1.598700000000000010e+01,1.347899999999999920e+01,1.847299999999999898e+01
1.740599999999999881e+01,1.343200000000000038e+01,1.865899999999999892e+01
1.962900000000000134e+01,1.200999999999999979e+01,1.847500000000000142e+01
2.258500000000000085e+01,1.198199999999999932e+01,1.862099999999999866e+01
2.039399999999999835e+01,1.334500000000000064e+01,1.880699999999999861e+01
2.180999999999999872e+01,1.324600000000000044e+01,1.898699999999999832e+01
2.402400000000000091e+01,1.199699999999999989e+01,1.863599999999999923e+01
2.692999999999999972e+01,1.187400000000000055e+01,1.899299999999999855e+01
2.471099999999999852e+01,1.306600000000000072e+01,1.933500000000000085e+01
2.614900000000000091e+01,1.307000000000000028e+01,1.942999999999999972e+01
2.839399999999999835e+01,1.195500000000000007e+01,1.896199999999999974e+01
3.127299999999999969e+01,1.183300000000000018e+01,1.952499999999999858e+01
2.908299999999999841e+01,1.320899999999999963e+01,1.949200000000000088e+01
3.054400000000000048e+01,1.311400000000000077e+01,1.979799999999999827e+01
3.274000000000000199e+01,1.173600000000000065e+01,1.978200000000000003e+01
3.570900000000000318e+01,1.180300000000000082e+01,1.958299999999999841e+01
3.349799999999999756e+01,1.300200000000000067e+01,2.001000000000000156e+01
3.493500000000000227e+01,1.303500000000000014e+01,1.995100000000000051e+01
3.723400000000000176e+01,1.179899999999999949e+01,1.951099999999999923e+01
